Average Returns,Iteration
-2432.415939530113,0
-2369.82452082556,5
-2266.3147490665115,10
-2356.8885650807897,15
-2278.7303069784325,20
-2269.8233289983245,25
-2254.028674981394,30
-2565.109129051549,35
-2440.3025646970373,40
-2464.4576376288696,45
-2333.0513408875013,50
-2230.474521758832,55
-2373.4700979271283,60
-2445.496294506639,65
-2279.1640517693636,70
-2275.792286690797,75
-2616.4454590957803,80
-2489.5861759321133,85
-2246.0045250998655,90
-2281.354373467182,95
-2532.217941782804,100
-2533.1199142789683,105
-2351.1380588828124,110
-2309.6111290356366,115
-2206.956336022784,120
-2387.1916559544284,125
-2290.7263014120263,130
-2255.414813719703,135
-2168.494872354999,140
-2292.062598443922,145
-2370.7253795722954,150
-2571.956611573505,155
-2297.6083492933712,160
-2381.5886534086058,165
-2395.4363522799376,170
-2515.497195937399,175
-2684.5403906055867,180
-2277.6330423787067,185
-2607.671507122073,190
-2373.639179238356,195
-2434.4237576545265,200
-2817.474063933374,205
-2194.012224105424,210
-2250.2085144519524,215
-2355.6622965972024,220
-2306.7665415718175,225
-2713.4520693450263,230
-2217.686382095634,235
-2355.3085978495146,240
-2331.1148410065825,245
-2701.9792530372533,249
