Iteration,Average Returns
0,-2396.939202026274
10,-1925.0811705214783
20,-2357.875424182852
30,-3264.8458672424254
40,-2477.315496364361
50,-3052.70052356841
60,-3113.9389460420107
70,-2510.853674170354
80,-2325.722714847656
90,-2704.2218028286566
100,-6417.220329904336
110,-2092.694489425603
120,-2527.412780841539
130,-2011.0258129910153
140,-5104.519593192195
150,-2197.5230819298376
160,-2031.7941307000783
170,-2568.8973395781586
180,-4337.581094477323
190,-2076.4296337371106
200,-3494.622561030341
210,-4183.231043574033
220,-1768.3471785190736
230,-3376.6927742789694
240,-3721.3556427022077
249,-2685.287642229503
